parcel_id,reference_area_ha,reference_source,reference_method,computed_forest_area_ha,diff_pct,tolerance_percent,outcome,reason
91201:001:1730,0.278078,geometry,geodesic_wgs84_pyproj,570.380491,205015.288157,5.0,comparable,
91201:001:1740,0.550925,geometry,geodesic_wgs84_pyproj,570.380491,103431.422789,5.0,comparable,
91201:001:1750,0.117918,geometry,geodesic_wgs84_pyproj,570.380491,483609.434522,5.0,comparable,
91201:001:1760,1768.0,attribute:haritav,reported_ha,570.380491,-67.73866,5.0,comparable,
91201:001:1770,2139.0,attribute:haritav,reported_ha,570.380491,-73.334245,5.0,comparable,
91201:001:1780,0.067434,geometry,geodesic_wgs84_pyproj,570.380491,845735.173651,5.0,comparable,
91201:001:1790,1.316434,geometry,geodesic_wgs84_pyproj,570.380491,43227.693679,5.0,comparable,
91201:001:1800,2.061218,geometry,geodesic_wgs84_pyproj,570.380491,27572.011937,5.0,comparable,
91201:001:1810,1908.0,attribute:haritav,reported_ha,570.380491,-70.105844,5.0,comparable,
91201:001:1820,1368.0,attribute:haritav,reported_ha,570.380491,-58.30552,5.0,comparable,
91201:001:1830,1405.0,attribute:haritav,reported_ha,570.380491,-59.403524,5.0,comparable,
91201:001:1840,1162.0,attribute:haritav,reported_ha,570.380491,-50.913899,5.0,comparable,
91201:001:1850,0.124129,geometry,geodesic_wgs84_pyproj,570.380491,459406.232226,5.0,comparable,
91201:001:1860,0.118674,geometry,geodesic_wgs84_pyproj,570.380491,480528.015404,5.0,comparable,
91201:001:1870,0.120273,geometry,geodesic_wgs84_pyproj,570.380491,474138.183965,5.0,comparable,
91201:001:1880,1501.0,attribute:haritav,reported_ha,570.380491,-61.999967,5.0,comparable,
91201:001:1890,1493.0,attribute:haritav,reported_ha,570.380491,-61.79635,5.0,comparable,
91201:001:1900,1223.0,attribute:haritav,reported_ha,570.380491,-53.362184,5.0,comparable,
91201:001:1910,0.052613,geometry,geodesic_wgs84_pyproj,570.380491,1084005.622185,5.0,comparable,
91201:001:1920,0.120107,geometry,geodesic_wgs84_pyproj,570.380491,474793.629014,5.0,comparable,
91201:001:1930,0.120117,geometry,geodesic_wgs84_pyproj,570.380491,474754.093093,5.0,comparable,
91201:001:1940,0.084095,geometry,geodesic_wgs84_pyproj,570.380491,678157.31732,5.0,comparable,
91201:001:1950,0.120523,geometry,geodesic_wgs84_pyproj,570.380491,473154.475079,5.0,comparable,
91201:001:1960,0.144774,geometry,geodesic_wgs84_pyproj,570.380491,393879.921118,5.0,comparable,
91201:001:1970,0.442187,geometry,geodesic_wgs84_pyproj,570.380491,128890.78693,5.0,comparable,
91201:001:1980,0.117372,geometry,geodesic_wgs84_pyproj,570.380491,485859.590873,5.0,comparable,
91201:001:1990,0.073915,geometry,geodesic_wgs84_pyproj,570.380491,771570.825949,5.0,comparable,
91201:001:2000,0.12344,geometry,geodesic_wgs84_pyproj,570.380491,461971.039371,5.0,comparable,
91201:001:2010,0.251194,geometry,geodesic_wgs84_pyproj,570.380491,226967.720965,5.0,comparable,
91201:001:2020,0.082812,geometry,geodesic_wgs84_pyproj,570.380491,688665.506207,5.0,comparable,
91201:001:2030,131.0,attribute:haritav,reported_ha,570.380491,335.404955,5.0,comparable,
91201:001:2040,0.943333,geometry,geodesic_wgs84_pyproj,570.380491,60364.384369,5.0,comparable,
91201:001:2050,0.030635,geometry,geodesic_wgs84_pyproj,570.380491,1861758.955443,5.0,comparable,
91201:001:2060,0.264911,geometry,geodesic_wgs84_pyproj,570.380491,215210.232871,5.0,comparable,
91201:001:2070,0.528509,geometry,geodesic_wgs84_pyproj,570.380491,107822.569152,5.0,comparable,
91201:001:2080,55.0,attribute:haritav,reported_ha,570.380491,937.055438,5.0,comparable,
91201:001:2090,0.404078,geometry,geodesic_wgs84_pyproj,570.380491,141056.036953,5.0,comparable,
91201:001:2100,0.396389,geometry,geodesic_wgs84_pyproj,570.380491,143794.126981,5.0,comparable,
91201:001:2110,0.548821,geometry,geodesic_wgs84_pyproj,570.380491,103828.328362,5.0,comparable,
91201:001:2120,0.336791,geometry,geodesic_wgs84_pyproj,570.380491,169257.402959,5.0,comparable,
91201:001:2130,0.07984,geometry,geodesic_wgs84_pyproj,570.380491,714304.422595,5.0,comparable,
91201:001:2140,0.220587,geometry,geodesic_wgs84_pyproj,570.380491,258473.937267,5.0,comparable,
91201:001:2150,0.130013,geometry,geodesic_wgs84_pyproj,570.380491,438610.352811,5.0,comparable,
91201:001:2160,0.121254,geometry,geodesic_wgs84_pyproj,570.380491,470301.381398,5.0,comparable,
91201:001:2170,48.0,attribute:haritav,reported_ha,570.380491,1088.29269,5.0,comparable,
91201:001:2180,67.0,attribute:haritav,reported_ha,570.380491,751.314166,5.0,comparable,
